Submission	Method	GS	AUPR, #1	AUPR, #3	AUPR, #4	AUROC, #1	AUROC, #3	AUROC, #4	PR score, #1	PR score, #3	PR score, #4	ROC score, #1	ROC score, #3	ROC score, #4	Score, #1	Score, #3	Score, #4	Final score
Bayesian1	gs	new_gs	0.22819021	0.02892604	0.01769594	0.64158735	0.53217135	0.50146959	37.29955462	0.00033163	0.00011353	0.00025859	0.00019471	0.00004156	18.64990660	0.00026317	0.00007755	6.21674911	
Bayesian1	gs	weak_gs	0.22819021	0.02464398	0.01769594	0.64158735	0.52451808	0.50146959	37.29955462	0.00033096	0.00011353	0.00025859	0.00019471	0.00004156	18.64990660	0.00026283	0.00007755	6.21674899	
Bayesian1	gs_author	old_gs	0.23515489	0.04138491	0.01781124	0.66318295	0.55374886	0.50184100	43.06206727	0.06680384	0.00011588	0.00041327	0.00019479	0.00004167	21.53124027	0.03349931	0.00007877	7.18827279	
Bayesian1	gs_author	new_gs	0.23515489	0.03064546	0.01781124	0.66318295	0.54781288	0.50184100	43.06206727	0.00033763	0.00011588	0.00041327	0.00019471	0.00004167	21.53124027	0.00026617	0.00007877	7.17719507	
Bayesian1	gs_author	weak_gs	0.23515489	0.02699312	0.01781124	0.66318295	0.54429004	0.50184100	43.06206727	0.00033100	0.00011588	0.00041327	0.00019471	0.00004167	21.53124027	0.00026285	0.00007877	7.17719397	
Bayesian1	pc	old_gs	0.22501478	0.04136549	0.01801955	0.64157182	0.53987552	0.50147000	34.81397167	0.06615430	0.00013104	0.00025859	0.00019471	0.00004156	17.40711513	0.03317451	0.00008630	5.81345864	
Bayesian1	pc	new_gs	0.22501478	0.02706063	0.01801955	0.64157182	0.53216980	0.50147000	34.81397167	0.00033100	0.00013104	0.00025859	0.00019471	0.00004156	17.40711513	0.00026285	0.00008630	5.80248809	
Bayesian1	pc	weak_gs	0.22501478	0.02384984	0.01801955	0.64157182	0.52451741	0.50147000	34.81397167	0.00033096	0.00013104	0.00025859	0.00019471	0.00004156	17.40711513	0.00026283	0.00008630	5.80248809	
Bayesian2	raw	old_gs	0.20207586	0.04273101	0.01823290	0.64936418	0.53981231	0.50220234	19.36460742	0.12318506	0.00021112	0.00025860	0.00019471	0.00004187	9.68243301	0.06168988	0.00012650	3.24808313	
Bayesian2	raw	new_gs	0.20207586	0.02789374	0.01823290	0.64936418	0.53245253	0.50220234	19.36460742	0.00033111	0.00021112	0.00025860	0.00019471	0.00004187	9.68243301	0.00026291	0.00012650	3.22760747	
Bayesian2	raw	weak_gs	0.20207586	0.02479425	0.01823290	0.64936418	0.52486822	0.50220234	19.36460742	0.00033096	0.00021112	0.00025860	0.00019471	0.00004187	9.68243301	0.00026283	0.00012650	3.22760745	
Bayesian2	idirect	old_gs	0.19258840	0.04271656	0.01822005	0.64912150	0.53981225	0.50220233	14.28784460	0.12215369	0.00020425	0.00025860	0.00019471	0.00004187	7.14405160	0.06117420	0.00012306	2.40178295	
Bayesian2	idirect	new_gs	0.19258840	0.02788330	0.01822005	0.64912150	0.53245249	0.50220233	14.28784460	0.00033111	0.00020425	0.00025860	0.00019471	0.00004187	7.14405160	0.00026291	0.00012306	2.38147919	
Bayesian2	idirect	weak_gs	0.19258840	0.02480761	0.01822005	0.64912150	0.52486821	0.50220233	14.28784460	0.00033096	0.00020425	0.00025860	0.00019471	0.00004187	7.14405160	0.00026283	0.00012306	2.38147916	
Bayesian2	nd	old_gs	0.20436718	0.03895476	0.01785590	0.64934812	0.53980947	0.50220141	20.70543057	0.01729429	0.00011735	0.00025860	0.00019471	0.00004187	10.35284459	0.00874450	0.00007961	3.45388957	
Bayesian2	nd	new_gs	0.20436718	0.02886566	0.01785590	0.64934812	0.53245103	0.50220141	20.70543057	0.00033158	0.00011735	0.00025860	0.00019471	0.00004187	10.35284459	0.00026314	0.00007961	3.45106245	
Bayesian2	nd	weak_gs	0.20436718	0.02464240	0.01785590	0.64934812	0.52486706	0.50220141	20.70543057	0.00033096	0.00011735	0.00025860	0.00019471	0.00004187	10.35284459	0.00026283	0.00007961	3.45106234	
Bayesian2	gs	old_gs	0.19785376	0.04047954	0.01786892	0.64932073	0.53981078	0.50220125	17.01149381	0.04189135	0.00011779	0.00025860	0.00019471	0.00004187	8.50587621	0.02104303	0.00007983	2.84233302	
Bayesian2	gs	new_gs	0.19785376	0.02909010	0.01786892	0.64932073	0.53245212	0.50220125	17.01149381	0.00033181	0.00011779	0.00025860	0.00019471	0.00004187	8.50587621	0.00026326	0.00007983	2.83540643	
Bayesian2	gs	weak_gs	0.19785376	0.02528183	0.01786892	0.64932073	0.52486780	0.50220125	17.01149381	0.00033096	0.00011779	0.00025860	0.00019471	0.00004187	8.50587621	0.00026283	0.00007983	2.83540629	
Bayesian2	gs_author	old_gs	0.20573122	0.04274412	0.01797228	0.67382811	0.55966874	0.50299854	21.52903394	0.12370312	0.00012591	0.01946918	0.00020633	0.00004345	10.77425156	0.06195473	0.00008468	3.61209699	
Bayesian2	gs_author	new_gs	0.20573122	0.03209208	0.01797228	0.67382811	0.55324285	0.50299854	21.52903394	0.00036938	0.00012591	0.01946918	0.00019476	0.00004345	10.77425156	0.00028207	0.00008468	3.59153944	
Bayesian2	gs_author	weak_gs	0.20573122	0.02873701	0.01797228	0.67382811	0.54880104	0.50299854	21.52903394	0.00033147	0.00012591	0.01946918	0.00019471	0.00004345	10.77425156	0.00026309	0.00008468	3.59153311	
Bayesian2	pc	old_gs	0.19452752	0.04274916	0.01823290	0.64917830	0.53981232	0.50220234	15.26266251	0.12370312	0.00021112	0.00025860	0.00019471	0.00004187	7.63146056	0.06194891	0.00012650	2.56451199	
Bayesian2	pc	new_gs	0.19452752	0.02789473	0.01823290	0.64917830	0.53245252	0.50220234	15.26266251	0.00033111	0.00021112	0.00025860	0.00019471	0.00004187	7.63146056	0.00026291	0.00012650	2.54394999	
Bayesian2	pc	weak_gs	0.19452752	0.02480900	0.01823290	0.64917830	0.52486826	0.50220234	15.26266251	0.00033096	0.00021112	0.00025860	0.00019471	0.00004187	7.63146056	0.00026283	0.00012650	2.54394996	
Bayesian3	raw	old_gs	0.04581239	0.02105962	0.02084064	0.69661280	0.55121793	0.51917496	0.00002245	0.00033096	0.97310101	1.65858688	0.00019471	2.78667921	0.82930467	0.00026284	1.87989011	0.90315254	
Bayesian3	raw	new_gs	0.04581239	0.01708849	0.02084064	0.69661280	0.54589797	0.51917496	0.00002245	0.00033096	0.97310101	1.65858688	0.00019471	2.78667921	0.82930467	0.00026283	1.87989011	0.90315254	
Bayesian3	raw	weak_gs	0.04581239	0.01676238	0.02084064	0.69661280	0.54092783	0.51917496	0.00002245	0.00033096	0.97310101	1.65858688	0.00019471	2.78667921	0.82930467	0.00026283	1.87989011	0.90315254	
Bayesian3	idirect	old_gs	0.05400333	0.02042588	0.02085562	0.69966936	0.55103927	0.51913631	0.00002245	0.00033096	0.98241210	2.19578972	0.00019471	2.76354567	1.09790609	0.00026284	1.87297889	0.99038260	
Bayesian3	idirect	new_gs	0.05400333	0.01659733	0.02085562	0.69966936	0.54571564	0.51913631	0.00002245	0.00033096	0.98241210	2.19578972	0.00019471	2.76354567	1.09790609	0.00026283	1.87297889	0.99038260	
Bayesian3	idirect	weak_gs	0.05400333	0.01639674	0.02085562	0.69966936	0.54078310	0.51913631	0.00002245	0.00033096	0.98241210	2.19578972	0.00019471	2.76354567	1.09790609	0.00026283	1.87297889	0.99038260	
Bayesian3	nd	old_gs	0.04798314	0.02362829	0.02048694	0.69665803	0.55166234	0.51892178	0.00002245	0.00033096	0.65495005	1.66502455	0.00019472	2.64373223	0.83252350	0.00026284	1.64934114	0.82737583	
Bayesian3	nd	new_gs	0.04798314	0.01900904	0.02048694	0.69665803	0.54631280	0.51892178	0.00002245	0.00033096	0.65495005	1.66502455	0.00019471	2.64373223	0.83252350	0.00026283	1.64934114	0.82737582	
Bayesian3	nd	weak_gs	0.04798314	0.01788815	0.02048694	0.69665803	0.54110357	0.51892178	0.00002245	0.00033096	0.65495005	1.66502455	0.00019471	2.64373223	0.83252350	0.00026283	1.64934114	0.82737582	
Bayesian3	gs	old_gs	0.05113259	0.02452990	0.02042177	0.69789796	0.55170745	0.51889236	0.00002245	0.00033096	0.60542410	1.87219898	0.00019472	2.62684066	0.93611072	0.00026284	1.61613238	0.85083531	
Bayesian3	gs	new_gs	0.05113259	0.01942303	0.02042177	0.69789796	0.54634023	0.51889236	0.00002245	0.00033096	0.60542410	1.87219898	0.00019471	2.62684066	0.93611072	0.00026283	1.61613238	0.85083531	
Bayesian3	gs	weak_gs	0.05113259	0.01816230	0.02042177	0.69789796	0.54111208	0.51889236	0.00002245	0.00033096	0.60542410	1.87219898	0.00019471	2.62684066	0.93611072	0.00026283	1.61613238	0.85083531	
Bayesian3	gs_author	old_gs	0.05098522	0.02429158	0.02023305	0.69581740	0.55120066	0.51724870	0.00002245	0.00033096	0.45616739	1.53301507	0.00019471	1.78437547	0.76651876	0.00026284	1.12027143	0.62901768	
Bayesian3	gs_author	new_gs	0.05098522	0.01934068	0.02023305	0.69581740	0.54597516	0.51724870	0.00002245	0.00033096	0.45616739	1.53301507	0.00019471	1.78437547	0.76651876	0.00026283	1.12027143	0.62901768	
Bayesian3	gs_author	weak_gs	0.05098522	0.01810706	0.02023305	0.69581740	0.54099003	0.51724870	0.00002245	0.00033096	0.45616739	1.53301507	0.00019471	1.78437547	0.76651876	0.00026283	1.12027143	0.62901768	
Bayesian3	pc	old_gs	0.05398030	0.02023834	0.02087121	0.69971682	0.55103787	0.51913636	0.00002245	0.00033096	1.00110611	2.20342176	0.00019471	2.76354567	1.10172210	0.00026284	1.88232589	0.99477028	
Bayesian3	pc	new_gs	0.05398030	0.01654443	0.02087121	0.69971682	0.54571499	0.51913636	0.00002245	0.00033096	1.00110611	2.20342176	0.00019471	2.76354567	1.10172210	0.00026283	1.88232589	0.99477028	
Bayesian3	pc	weak_gs	0.05398030	0.01634687	0.02087121	0.69971682	0.54078283	0.51913636	0.00002245	0.00033096	1.00110611	2.20342176	0.00019471	2.76354567	1.10172210	0.00026283	1.88232589	0.99477028	
Bayesian4	raw	old_gs	0.09083437	0.02188302	0.02044990	0.70068044	0.55385014	0.51904088	0.00002245	0.00033096	0.62181205	2.39341220	0.00019480	2.71186013	1.19671733	0.00026288	1.66683609	0.95460543	
Bayesian4	raw	new_gs	0.09083437	0.01830441	0.02044990	0.70068044	0.55037303	0.51904088	0.00002245	0.00033096	0.62181205	2.39341220	0.00019471	2.71186013	1.19671733	0.00026283	1.66683609	0.95460542	
Bayesian4	raw	weak_gs	0.09083437	0.01797087	0.02044990	0.70068044	0.54441774	0.51904088	0.00002245	0.00033096	0.62181205	2.39341220	0.00019471	2.71186013	1.19671733	0.00026283	1.66683609	0.95460542	
Bayesian4	idirect	old_gs	0.12353080	0.02284430	0.02062201	0.70119997	0.55389642	0.51905662	0.00074625	0.00033096	0.77456896	2.49917524	0.00019480	2.71757802	1.24996074	0.00026288	1.74607349	0.99876570	
Bayesian4	idirect	new_gs	0.12353080	0.01858082	0.02062201	0.70119997	0.55037177	0.51905662	0.00074625	0.00033096	0.77456896	2.49917524	0.00019471	2.71757802	1.24996074	0.00026283	1.74607349	0.99876569	
Bayesian4	idirect	weak_gs	0.12353080	0.01793458	0.02062201	0.70119997	0.54439412	0.51905662	0.00074625	0.00033096	0.77456896	2.49917524	0.00019471	2.71757802	1.24996074	0.00026283	1.74607349	0.99876569	
Bayesian4	nd	old_gs	0.09888297	0.02737073	0.01995170	0.70008291	0.55427608	0.51905347	0.00002245	0.00033103	0.26171674	2.27477685	0.00019484	2.71757802	1.13739965	0.00026293	1.48964738	0.87576999	
Bayesian4	nd	new_gs	0.09888297	0.02224556	0.01995170	0.70008291	0.55070441	0.51905347	0.00002245	0.00033096	0.26171674	2.27477685	0.00019471	2.71757802	1.13739965	0.00026283	1.48964738	0.87576995	
Bayesian4	nd	weak_gs	0.09888297	0.02035586	0.01995170	0.70008291	0.54452560	0.51905347	0.00002245	0.00033096	0.26171674	2.27477685	0.00019471	2.71757802	1.13739965	0.00026283	1.48964738	0.87576995	
Bayesian4	gs	old_gs	0.11108347	0.02880183	0.01997053	0.70106918	0.55430386	0.51905940	0.00002260	0.00033153	0.27429737	2.47247695	0.00019484	2.71757802	1.23624977	0.00026318	1.49593769	0.91081688	
Bayesian4	gs	new_gs	0.11108347	0.02295629	0.01997053	0.70106918	0.55072480	0.51905940	0.00002260	0.00033096	0.27429737	2.47247695	0.00019471	2.71757802	1.23624977	0.00026283	1.49593769	0.91081677	
Bayesian4	gs	weak_gs	0.11108347	0.02075955	0.01997053	0.70106918	0.54453617	0.51905940	0.00002260	0.00033096	0.27429737	2.47247695	0.00019471	2.71757802	1.23624977	0.00026283	1.49593769	0.91081677	
Bayesian4	gs_author	old_gs	0.11111973	0.02881369	0.01996931	0.70159183	0.55445092	0.51904704	0.00002260	0.00033154	0.26797065	2.58030420	0.00019486	2.71186013	1.29016340	0.00026320	1.48991539	0.92678066	
Bayesian4	gs_author	new_gs	0.11111973	0.02295220	0.01996931	0.70159183	0.55068260	0.51904704	0.00002260	0.00033096	0.26797065	2.58030420	0.00019471	2.71186013	1.29016340	0.00026283	1.48991539	0.92678054	
Bayesian4	gs_author	weak_gs	0.11111973	0.02077288	0.01996931	0.70159183	0.54469777	0.51904704	0.00002260	0.00033096	0.26797065	2.58030420	0.00019471	2.71186013	1.29016340	0.00026283	1.48991539	0.92678054	
Bayesian4	pc	old_gs	0.08558178	0.02244520	0.02034996	0.70066499	0.55389495	0.51905628	0.00002245	0.00033096	0.54112202	2.38939916	0.00019480	2.71757802	1.19471081	0.00026288	1.62935002	0.94144123	
Bayesian4	pc	new_gs	0.08558178	0.01837472	0.02034996	0.70066499	0.55037077	0.51905628	0.00002245	0.00033096	0.54112202	2.38939916	0.00019471	2.71757802	1.19471081	0.00026283	1.62935002	0.94144122	
Bayesian4	pc	weak_gs	0.08558178	0.01779168	0.02034996	0.70066499	0.54439358	0.51905628	0.00002245	0.00033096	0.54112202	2.38939916	0.00019471	2.71757802	1.19471081	0.00026283	1.62935002	0.94144122	
Bayesian5	raw	old_gs	0.09082472	0.02187818	0.02044985	0.70064546	0.55381513	0.51904080	0.00002245	0.00033096	0.62181205	2.38539016	0.00019479	2.71186013	1.19270631	0.00026287	1.66683609	0.95326842	
Bayesian5	raw	new_gs	0.09082472	0.01830131	0.02044985	0.70064546	0.55034610	0.51904080	0.00002245	0.00033096	0.62181205	2.38539016	0.00019471	2.71186013	1.19270631	0.00026283	1.66683609	0.95326841	
Bayesian5	raw	weak_gs	0.09082472	0.01796899	0.02044985	0.70064546	0.54440748	0.51904080	0.00002245	0.00033096	0.62181205	2.38539016	0.00019471	2.71186013	1.19270631	0.00026283	1.66683609	0.95326841	
Bayesian5	idirect	old_gs	0.12350350	0.02283935	0.02062195	0.70116380	0.55386133	0.51905654	0.00073476	0.00033096	0.77456896	2.49094206	0.00019480	2.71757802	1.24583841	0.00026288	1.74607349	0.99739159	
Bayesian5	idirect	new_gs	0.12350350	0.01857760	0.02062195	0.70116380	0.55034475	0.51905654	0.00073476	0.00033096	0.77456896	2.49094206	0.00019471	2.71757802	1.24583841	0.00026283	1.74607349	0.99739158	
Bayesian5	idirect	weak_gs	0.12350350	0.01793267	0.02062195	0.70116380	0.54438383	0.51905654	0.00073476	0.00033096	0.77456896	2.49094206	0.00019471	2.71757802	1.24583841	0.00026283	1.74607349	0.99739158	
Bayesian5	nd	old_gs	0.09890552	0.02736438	0.01995317	0.70004660	0.55424152	0.51905362	0.00002245	0.00033103	0.26171674	2.26699665	0.00019483	2.71757802	1.13350955	0.00026293	1.48964738	0.87447329	
Bayesian5	nd	new_gs	0.09890552	0.02222352	0.01995317	0.70004660	0.55067647	0.51905362	0.00002245	0.00033096	0.26171674	2.26699665	0.00019471	2.71757802	1.13350955	0.00026283	1.48964738	0.87447325	
Bayesian5	nd	weak_gs	0.09890552	0.02035468	0.01995317	0.70004660	0.54451503	0.51905362	0.00002245	0.00033096	0.26171674	2.26699665	0.00019471	2.71757802	1.13350955	0.00026283	1.48964738	0.87447325	
Bayesian5	gs	old_gs	0.11046941	0.02878960	0.01997042	0.70101083	0.55426970	0.51905931	0.00002254	0.00033151	0.27429737	2.46021265	0.00019484	2.71757802	1.23011759	0.00026317	1.49593769	0.90877282	
Bayesian5	gs	new_gs	0.11046941	0.02293199	0.01997042	0.70101083	0.55069713	0.51905931	0.00002254	0.00033096	0.27429737	2.46021265	0.00019471	2.71757802	1.23011759	0.00026283	1.49593769	0.90877271	
Bayesian5	gs	weak_gs	0.11046941	0.02074638	0.01997042	0.70101083	0.54452432	0.51905931	0.00002254	0.00033096	0.27429737	2.46021265	0.00019471	2.71757802	1.23011759	0.00026283	1.49593769	0.90877271	
Bayesian5	gs_author	old_gs	0.11050488	0.02880143	0.01996920	0.70151920	0.55441670	0.51904695	0.00002254	0.00033153	0.26797065	2.56562816	0.00019485	2.71186013	1.28282535	0.00026319	1.48991539	0.92433464	
Bayesian5	gs_author	new_gs	0.11050488	0.02292788	0.01996920	0.70151920	0.55065489	0.51904695	0.00002254	0.00033096	0.26797065	2.56562816	0.00019471	2.71186013	1.28282535	0.00026283	1.48991539	0.92433452	
Bayesian5	gs_author	weak_gs	0.11050488	0.02075978	0.01996920	0.70151920	0.54468693	0.51904695	0.00002254	0.00033096	0.26797065	2.56562816	0.00019471	2.71186013	1.28282535	0.00026283	1.48991539	0.92433452	
Bayesian5	pc	old_gs	0.08557203	0.02244024	0.02034991	0.70062892	0.55385986	0.51905620	0.00002245	0.00033096	0.54112202	2.38338718	0.00019480	2.71757802	1.19170481	0.00026288	1.62935002	0.94043924	
Bayesian5	pc	new_gs	0.08557203	0.01837150	0.02034991	0.70062892	0.55034374	0.51905620	0.00002245	0.00033096	0.54112202	2.38338718	0.00019471	2.71757802	1.19170481	0.00026283	1.62935002	0.94043922	
Bayesian5	pc	weak_gs	0.08557203	0.01778976	0.02034991	0.70062892	0.54438329	0.51905620	0.00002245	0.00033096	0.54112202	2.38338718	0.00019471	2.71757802	1.19170481	0.00026283	1.62935002	0.94043922	
Bayesian6	raw	old_gs	0.04747420	0.02142643	0.01902879	0.52406758	0.56043756	0.51252423	0.00002245	0.00033096	0.01075878	0.00025859	0.00021543	0.30318802	0.00014052	0.00027319	0.15697340	0.05246237	
Bayesian6	raw	new_gs	0.04747420	0.01660707	0.01902879	0.52406758	0.54306940	0.51252423	0.00002245	0.00033096	0.01075878	0.00025859	0.00019471	0.30318802	0.00014052	0.00026283	0.15697340	0.05245892	
Bayesian6	raw	weak_gs	0.04747420	0.01857394	0.01902879	0.52406758	0.54752072	0.51252423	0.00002245	0.00033096	0.01075878	0.00025859	0.00019471	0.30318802	0.00014052	0.00026283	0.15697340	0.05245892	
Bayesian6	idirect	old_gs	0.04762078	0.02164054	0.01904964	0.52407952	0.56043941	0.51252423	0.00002245	0.00033096	0.01179622	0.00025859	0.00021543	0.30318802	0.00014052	0.00027319	0.15749212	0.05263528	
Bayesian6	idirect	new_gs	0.04762078	0.01672417	0.01904964	0.52407952	0.54306970	0.51252423	0.00002245	0.00033096	0.01179622	0.00025859	0.00019471	0.30318802	0.00014052	0.00026283	0.15749212	0.05263182	
Bayesian6	idirect	weak_gs	0.04762078	0.01865222	0.01904964	0.52407952	0.54752100	0.51252423	0.00002245	0.00033096	0.01179622	0.00025859	0.00019471	0.30318802	0.00014052	0.00026283	0.15749212	0.05263182	
Bayesian6	nd	old_gs	0.04179255	0.03328111	0.01900236	0.52352819	0.56300938	0.51247788	0.00002245	0.00047380	0.00980177	0.00025859	0.00032145	0.29461366	0.00014052	0.00039763	0.15220771	0.05091529	
Bayesian6	nd	new_gs	0.04179255	0.03056820	0.01900236	0.52352819	0.54553117	0.51247788	0.00002245	0.00033699	0.00980177	0.00025859	0.00019471	0.29461366	0.00014052	0.00026585	0.15220771	0.05087136	
Bayesian6	nd	weak_gs	0.04179255	0.03668407	0.01900236	0.52352819	0.54930592	0.51247788	0.00002245	0.00366332	0.00980177	0.00025859	0.00019471	0.29461366	0.00014052	0.00192901	0.15220771	0.05142575	
Bayesian6	gs	old_gs	0.04731736	0.02833997	0.01903893	0.52519251	0.56269959	0.51250180	0.00002245	0.00033125	0.01126712	0.00025859	0.00029757	0.29974117	0.00014052	0.00031441	0.15550415	0.05198636	
Bayesian6	gs	new_gs	0.04731736	0.02241063	0.01903893	0.52519251	0.54521660	0.51250180	0.00002245	0.00033096	0.01126712	0.00025859	0.00019471	0.29974117	0.00014052	0.00026283	0.15550415	0.05196917	
Bayesian6	gs	weak_gs	0.04731736	0.02439371	0.01903893	0.52519251	0.54896680	0.51250180	0.00002245	0.00033096	0.01126712	0.00025859	0.00019471	0.29974117	0.00014052	0.00026283	0.15550415	0.05196917	
Bayesian6	gs_author	old_gs	0.05008120	0.02745620	0.01889162	0.52507120	0.56358976	0.51016681	0.00002245	0.00033104	0.00575960	0.00025859	0.00038069	0.05516353	0.00014052	0.00035586	0.03046157	0.01031932	
Bayesian6	gs_author	new_gs	0.05008120	0.02194940	0.01889162	0.52507120	0.54809067	0.51016681	0.00002245	0.00033096	0.00575960	0.00025859	0.00019471	0.05516353	0.00014052	0.00026283	0.03046157	0.01028831	
Bayesian6	gs_author	weak_gs	0.05008120	0.02555626	0.01889162	0.52507120	0.55213582	0.51016681	0.00002245	0.00033096	0.00575960	0.00025859	0.00019472	0.05516353	0.00014052	0.00026284	0.03046157	0.01028831	
Bayesian6	pc	old_gs	0.03157203	0.02167676	0.01906101	0.52400817	0.56043938	0.51252424	0.00002245	0.00033096	0.01291940	0.00025859	0.00021543	0.30318802	0.00014052	0.00027319	0.15805371	0.05282247	
Bayesian6	pc	new_gs	0.03157203	0.01675547	0.01906101	0.52400817	0.54306973	0.51252424	0.00002245	0.00033096	0.01291940	0.00025859	0.00019471	0.30318802	0.00014052	0.00026283	0.15805371	0.05281902	
Bayesian6	pc	weak_gs	0.03157203	0.01867770	0.01906101	0.52400817	0.54752099	0.51252424	0.00002245	0.00033096	0.01291940	0.00025859	0.00019471	0.30318802	0.00014052	0.00026283	0.15805371	0.05281902	
Community	raw	old_gs	0.34688823	0.09205566	0.02304283	0.83215255	0.65408279	0.53112324	190.11733123	18.65967493	3.47665618	136.65031457	36.00551990	14.08176795	163.38382290	27.33259742	8.77921207	66.49854413	
Community	raw	new_gs	0.34688823	0.06561508	0.02304283	0.83215255	0.63845195	0.53112324	190.11733123	5.17119139	3.47665618	136.65031457	23.31405661	14.08176795	163.38382290	14.24262400	8.77921207	62.13521965	
Community	raw	weak_gs	0.34688823	0.05510215	0.02304283	0.83215255	0.61691381	0.53112324	190.11733123	1.97364792	3.47665618	136.65031457	10.24727889	14.08176795	163.38382290	6.11046341	8.77921207	59.42449946	
Community	idirect	old_gs	0.37107947	0.09282971	0.02292181	0.83706222	0.65408348	0.53112307	235.25399059	19.16442244	3.32059591	146.26571629	36.00551990	14.08176795	190.75985344	27.58497117	8.70118193	75.68200218	
Community	idirect	new_gs	0.37107947	0.06696382	0.02292181	0.83706222	0.63845495	0.53112307	235.25399059	5.67826160	3.32059591	146.26571629	23.31405661	14.08176795	190.75985344	14.49615911	8.70118193	71.31906483	
Community	idirect	weak_gs	0.37107947	0.05612566	0.02292181	0.83706222	0.61691488	0.53112307	235.25399059	2.22312572	3.32059591	146.26571629	10.24727889	14.08176795	190.75985344	6.23520231	8.70118193	68.56541256	
Community	nd	old_gs	0.34734712	0.09493961	0.02331292	0.83193476	0.65419364	0.53124651	190.93206524	20.55864790	3.83464020	136.22768137	36.10422876	14.23854263	163.57987331	28.33143833	9.03659141	66.98263435	
Community	nd	new_gs	0.34734712	0.06912060	0.02331292	0.83193476	0.63849932	0.53124651	190.93206524	6.53290763	3.83464020	136.22768137	23.35040058	14.23854263	163.57987331	14.94165410	9.03659141	62.51937294	
Community	nd	weak_gs	0.34734712	0.05978438	0.02331292	0.83193476	0.61700374	0.53124651	190.93206524	3.22864489	3.83464020	136.22768137	10.29098963	14.23854263	163.57987331	6.75981726	9.03659141	59.79209399	
Community	gs	old_gs	0.33148977	0.09294249	0.02327498	0.83103390	0.65409883	0.53123801	163.82066266	19.23606914	3.78101928	134.50603713	36.02345728	14.22544586	149.16334989	27.62976321	9.00323257	61.93211522	
Community	gs	new_gs	0.33148977	0.06817102	0.02327498	0.83103390	0.63836947	0.53123801	163.82066266	6.15050674	3.78101928	134.50603713	23.25596351	14.22544586	149.16334989	14.70323513	9.00323257	57.62327253	
Community	gs	weak_gs	0.33148977	0.05888382	0.02327498	0.83103390	0.61687833	0.53123801	163.82066266	2.96565514	3.78101928	134.50603713	10.23272921	14.22544586	149.16334989	6.59919217	9.00323257	54.92192488	
Community	gs_author	old_gs	0.33151083	0.09320846	0.02343294	0.83133305	0.65684826	0.53260895	163.87003826	19.41241485	3.99669982	135.07861356	38.53082040	16.07412483	149.47432591	28.97161763	10.03541232	62.82711862	
Community	gs_author	new_gs	0.33151083	0.06851244	0.02343294	0.83133305	0.64153792	0.53260895	163.87003826	6.28619641	3.99669982	135.07861356	25.61174376	16.07412483	149.47432591	15.94897009	10.03541232	58.48623611	
